mode,nNodes,clients,rtsCtsThreshold,packetSize,packetRate,simTime,serverStart,clientStart,offeredLoadMbps,measuredFlows,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,2,1,2346,512,100,300,1,2,0.4096,1,29800,0,0,0,29800,0,100,0,0,5,0.0166667,48.8255
mobile,2,1,2346,512,100,300,1,2,0.4096,1,29800,0,0,0,29800,0,100,0,0,3,0.01,56.5436
