mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,8,2346,512,100,1800,1500,1800,7,210000,11142,6016680,5704704,198858,5.30571,94.6943,2.8672,0.152125,6.31596,26,0.0866667,53.6429
mobile,9,2346,512,100,1800,2,300,5,149000,3396,1833840,1738752,145604,2.27919,97.7208,2.048,0.0466779,0.465368,21,0.0704698,55.8725
mobile,9,2346,512,100,1800,300,600,8,239400,14873,8031420,7614976,224527,6.21261,93.7874,3.2768,0.203066,7.32265,39,0.13,54.7828
mobile,9,2346,512,100,1800,600,900,8,240000,7585,4095900,3883520,232415,3.16042,96.8396,3.2768,0.103561,5.03414,37,0.123333,61
mobile,9,2346,512,100,1800,900,1200,8,240000,10689,5772060,5472768,229311,4.45375,95.5463,3.2768,0.14594,5.30127,34,0.113333,57.8958
mobile,9,2346,512,100,1800,1200,1500,8,240000,5403,2917620,2766336,234597,2.25125,97.7488,3.2768,0.073769,7.00685,29,0.0966667,69.0625
mobile,9,2346,512,100,1800,1500,1800,8,240000,9580,5173200,4904960,230420,3.99167,96.0083,3.2768,0.130799,8.30899,38,0.126667,51
mobile,10,2346,512,100,1800,2,300,5,149000,10548,5695920,5400576,138452,7.07919,92.9208,2.048,0.144982,6.22027,24,0.0805369,53.0872
mobile,10,2346,512,100,1800,300,600,9,269200,13660,7376400,6993920,255540,5.07429,94.9257,3.6864,0.186505,9.86835,43,0.143333,54.2348
mobile,10,2346,512,100,1800,600,900,9,270000,23757,12828780,12163584,246243,8.79889,91.2011,3.6864,0.324362,9.1432,44,0.146667,51.2037
mobile,10,2346,512,100,1800,900,1200,9,270000,20701,11178540,10598912,249299,7.66704,92.333,3.6864,0.282638,8.79323,41,0.136667,51.1296
mobile,10,2346,512,100,1800,1200,1500,9,270000,12693,6854220,6498816,257307,4.70111,95.2989,3.6864,0.173302,4.74849,37,0.123333,62.3148
mobile,10,2346,512,100,1800,1500,1800,9,270000,19999,10799460,10239488,250001,7.40704,92.593,3.6864,0.273053,7.0588,40,0.133333,51.7778
mobile,11,2346,512,100,1800,2,300,5,149000,4863,2626020,2489856,144137,3.26376,96.7362,2.048,0.0668418,5.90916,25,0.0838926,57.9866
mobile,11,2346,512,100,1800,300,600,10,299000,7169,3871260,3670528,291831,2.39766,97.6023,4.096,0.0978807,6.45968,48,0.16,61.1706
mobile,11,2346,512,100,1800,600,900,10,300000,9465,5111100,4846080,290535,3.155,96.845,4.096,0.129229,7.85282,41,0.136667,55.3833
mobile,11,2346,512,100,1800,900,1200,10,300000,7962,4299480,4076544,292038,2.654,97.346,4.096,0.108708,9.36804,50,0.166667,54.3667
mobile,11,2346,512,100,1800,1200,1500,10,300000,25599,13823460,13106688,274401,8.533,91.467,4.096,0.349512,6.84791,45,0.15,52.5667
mobile,11,2346,512,100,1800,1500,1800,10,300000,14332,7739280,7337984,285668,4.77733,95.2227,4.096,0.19568,8.53799,40,0.133333,57.2
mobile,12,2346,512,100,1800,2,300,5,149000,12894,6962760,6601728,136106,8.65369,91.3463,2.048,0.177228,4.47085,27,0.090604,41.7785
mobile,12,2346,512,100,1800,300,600,10,299000,12158,6565320,6224896,286842,4.06622,95.9338,4.096,0.165997,4.54566,47,0.156667,52.592
mobile,12,2346,512,100,1800,600,900,11,329800,31760,17150400,16261120,298040,9.63008,90.3699,4.5056,0.43363,7.28157,45,0.15,56.1249
mobile,12,2346,512,100,1800,900,1200,11,330000,19249,10394460,9855488,310751,5.83303,94.167,4.5056,0.262813,7.31517,47,0.156667,55.6818
