mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
static,9,2346,512,100,1800,900,1200,8,240000,0,0,0,240000,0,100,3.2768,0,0,0,0,75
static,9,2346,512,100,1800,1200,1500,8,240000,0,0,0,240000,0,100,3.2768,0,0,0,0,75
static,9,2346,512,100,1800,1500,1800,8,240000,0,0,0,240000,0,100,3.2768,0,0,0,0,75
static,10,2346,512,100,1800,2,300,5,149000,29800,16092000,15257600,119200,20,80,2.048,0.4096,0.464533,0,0,80
static,10,2346,512,100,1800,300,600,9,269200,30000,16200000,15360000,239200,11.1441,88.8559,3.6864,0.4096,0.464212,0,0,88.8559
static,10,2346,512,100,1800,600,900,9,270000,30000,16200000,15360000,240000,11.1111,88.8889,3.6864,0.4096,0.464359,0,0,88.8889
static,10,2346,512,100,1800,900,1200,9,270000,30000,16200000,15360000,240000,11.1111,88.8889,3.6864,0.4096,0.46412,0,0,88.8889
static,10,2346,512,100,1800,1200,1500,9,270000,30000,16200000,15360000,240000,11.1111,88.8889,3.6864,0.4096,0.464799,0,0,88.8889
static,10,2346,512,100,1800,1500,1800,9,270000,30000,16200000,15360000,240000,11.1111,88.8889,3.6864,0.4096,0.464146,0,0,88.8889
static,11,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,60
static,11,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,79.9331
static,11,2346,512,100,1800,600,900,10,300000,0,0,0,300000,0,100,4.096,0,0,0,0,80
static,11,2346,512,100,1800,900,1200,10,300000,0,0,0,300000,0,100,4.096,0,0,0,0,80
static,11,2346,512,100,1800,1200,1500,10,300000,0,0,0,300000,0,100,4.096,0,0,0,0,80
static,11,2346,512,100,1800,1500,1800,10,300000,0,0,0,300000,0,100,4.096,0,0,0,0,80
static,12,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,60
static,12,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,79.9331
static,12,2346,512,100,1800,600,900,11,329800,0,0,0,329800,0,100,4.5056,0,0,0,0,81.8072
static,12,2346,512,100,1800,900,1200,11,330000,0,0,0,330000,0,100,4.5056,0,0,0,0,81.8182
static,12,2346,512,100,1800,1200,1500,11,330000,0,0,0,330000,0,100,4.5056,0,0,0,0,81.8182
static,12,2346,512,100,1800,1500,1800,11,330000,0,0,0,330000,0,100,4.5056,0,0,0,0,81.8182
static,13,2346,512,100,1800,2,300,5,149000,29800,16092000,15257600,119200,20,80,2.048,0.4096,0.464758,0,0,80
static,13,2346,512,100,1800,300,600,10,299000,59760,32270400,30597120,239240,19.9866,80.0134,4.096,0.815923,3.82641,0,0,80
static,13,2346,512,100,1800,600,900,12,359600,59969,32383260,30704128,299631,16.6766,83.3234,4.9152,0.818777,3.83963,0,0,83.3148
static,13,2346,512,100,1800,900,1200,12,360000,49584,26775360,25387008,310416,13.7733,86.2267,4.9152,0.676987,3.11546,0,0,83.3333
static,13,2346,512,100,1800,1200,1500,12,360000,59976,32387040,30707712,300024,16.66,83.34,4.9152,0.818872,3.85408,0,0,83.3333
